meta,tournaments_used,tournament_count,my_deck_slug,my_deck_name,my_deck_player_count,my_deck_total_wins,my_deck_total_losses,my_deck_total_ties,my_deck_overall_win_pct,opponent_deck_slug,opponent_deck_name,vs_count,vs_win_pct,vs_wins,vs_losses,vs_ties,day_filter,scraped_at,ist_spiegel,tagesfilter_quelle
TEF-PBL,"71,72",2,alakazam-dudunsparce,Alakazam Dudunsparce,246,740,811,307,45.34,dragapult-ex,Dragapult,384,35.07,110,200,74,overall,2026-09-22T14:42:50.573433+00:00,nein,abfrage
TEF-PBL,"71,72",2,alakazam-dudunsparce,Alakazam Dudunsparce,246,740,811,307,45.34,n-zoroark,N's Zoroark,146,41.78,53,69,24,overall,2026-09-22T14:42:50.573433+00:00,nein,abfrage
TEF-PBL,"71,72",2,alakazam-dudunsparce,Alakazam Dudunsparce,246,740,811,307,45.34,dragapult-dusknoir,Dragapult Dusknoir,139,43.41,53,64,22,overall,2026-09-22T14:42:50.573433+00:00,nein,abfrage
TEF-PBL,"71,72",2,alakazam-dudunsparce,Alakazam Dudunsparce,246,740,811,307,45.34,basic-box-m,Basic Box,138,56.04,73,52,13,overall,2026-09-22T14:42:50.573433+00:00,nein,abfrage
TEF-PBL,"71,72",2,alakazam-dudunsparce,Alakazam Dudunsparce,246,740,811,307,45.34,dragapult-blaziken,Dragapult Blaziken,133,42.11,47,59,27,overall,2026-09-22T14:42:50.573433+00:00,nein,abfrage
TEF-PBL,"71,72",2,alakazam-dudunsparce,Alakazam Dudunsparce,246,740,811,307,45.34,slowking-scr,Slowking,119,63.31,71,35,13,overall,2026-09-22T14:42:50.573433+00:00,nein,abfrage
TEF-PBL,"71,72",2,alakazam-dudunsparce,Alakazam Dudunsparce,246,740,811,307,45.34,mega-excadrill-ex,Mega Excadrill,91,66.3,55,20,16,overall,2026-09-22T14:42:50.573433+00:00,nein,abfrage
TEF-PBL,"71,72",2,alakazam-dudunsparce,Alakazam Dudunsparce,246,740,811,307,45.34,crustle-dri,Crustle,76,28.95,18,46,12,overall,2026-09-22T14:42:50.573433+00:00,nein,abfrage
TEF-PBL,"71,72",2,alakazam-dudunsparce,Alakazam Dudunsparce,246,740,811,307,45.34,alakazam-dudunsparce,Alakazam Dudunsparce,49,46.6,39,39,20,overall,2026-09-22T14:42:50.573433+00:00,ja,abfrage
TEF-PBL,"71,72",2,alakazam-dudunsparce,Alakazam Dudunsparce,246,740,811,307,45.34,dhelmise-pbl,Dhelmise,46,19.57,7,33,6,overall,2026-09-22T14:42:50.573433+00:00,nein,abfrage
TEF-PBL,"71,72",2,alakazam-dudunsparce,Alakazam Dudunsparce,246,740,811,307,45.34,festival-lead,Festival Lead,38,52.63,17,12,9,overall,2026-09-22T14:42:50.573433+00:00,nein,abfrage
