set,number,cardmarket_product_id,source,note
SVP,181,816614,maintainer-observation,"observed trend=16.11, avg30=15.68, avg7=18.42"
HL,28,276102,tcggo+kartentext,"tcggo /ex-hidden-legends/beldum-28; Cardmarket-Name ""Beldum [Levitate | Tackle]"" deckt sich mit unserem Kartentext ""Levitate Tackle"""
HL,29,276103,tcggo+kartentext,"tcggo /ex-hidden-legends/beldum-29; Kartentext ""Magnetic Call Metal Charge"". Loest die Doppelbelegung 276103 (stand auf HL-28 UND HL-29)"
TRR,19,276311,tcggo+kartentext,"tcggo /ex-team-rocket-returns/dark-tyranitar-19; Kartentext ""Grind Spinning Tail Bite Off"". Loest 276311"
TRR,20,276312,tcggo+kartentext,"tcggo /ex-team-rocket-returns/dark-tyranitar-20; Kartentext ""Sand Damage Second Strike"""
FLF,19,281502,tcggo+kartentext,"tcggo /flashfire/litleo-19; Kartentext ""Fire Mane"". Loest 281502"
ROS,54,282722,tcggo+kartentext,"tcggo /roaring-skies/bagon-54; Kartentext ""Continuous Headbutt"". Loest 282722"
ROS,55,282723,tcggo+kartentext,"tcggo /roaring-skies/bagon-55; Kartentext ""Leer Almost Flight"""
UPR,20,315951,tcggo+kartentext,"tcggo /ultra-prism/chimchar-20; Kartentext ""Flare"". Loest 315951"
UPR,21,315952,tcggo+kartentext,"tcggo /ultra-prism/chimchar-21; Kartentext ""Fury Swipes"""
BWP,30,279947,tcggo,"tcggo /bw-black-star-promos/victory-cup-bw30. ACHTUNG: die IDs stehen hier NICHT in Kartenreihenfolge (30 -> 279947, 31 -> 279943)"
BWP,31,279943,tcggo,tcggo /bw-black-star-promos/victory-cup-bw31. Loest 279943
BUS,112a,371642,tcggo,tcggo /burning-shadows/acerola-112a
BUS,142,299540,tcggo,tcggo /burning-shadows/acerola-142. Loest 299540
JTG,143,817295,tcggo,tcggo /journey-together/black-belts-training-143. Die strittige 817297 gehoert zu JTG-145 — beide bisherigen Zuordnungen waren falsch
JTG,144,817296,tcggo,tcggo /journey-together/black-belts-training-144
JTG,145,817297,tcggo,tcggo /journey-together/black-belts-training-145. Das ist die wahre Heimat der strittigen 817297
DRM,60a,448143,tcggo,"tcggo /dragon-majesty/fiery-flint-60a. DRM-60 bleibt offen: tcggo nennt dafuer 585901, und die ID steht nicht in products_singles_6.json"
FLF,18,281501,kartentext,"tcggo hat unter /flashfire/litleo-18 keine Seite. Cardmarket fuehrt in Flashfire genau zwei Litleo: 281501 ""[Combustion]"" und 281502 ""[Fire Mane]""; unser Kartentext sagt FLF-18 Combustion, FLF-19 Fire Mane. Eindeutig auch ohne tcggo"
SSP,76,794373,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Latias ex [Skyliner | Eon Blade]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
TWM,25,769199,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Teal Mask Ogerpon ex [Teal Dance | Myriad Leaf Shower]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
SCR,128,785982,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Terapagos ex [Unified Beatdown | Crown Opal]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
PBL,48,895788,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Mega Darkrai ex [Dusk Raid | Abyss Eye]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
TEF,84,760714,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Relicanth [Memory Dive | Razor Fin]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
SCR,119,785973,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Bouffalant [Curly Wall | Boundless Power]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
WHT,44,835982,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Frillish [Oceanic Gloom]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
ASC,16,869627,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Budew [Itchy Pollen]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
MEG,11,851082,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Shuckle [Fermented Juice | Rollout]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
POR,30,877444,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Clefairy [Follow Me | Flop]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
TEF,78,760708,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Flutter Mane [Midnight Fluttering | Hex Hurl]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
CRI,21,886413,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Frogadier [Summoning Jutsu | Aqua Edge]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
SSP,41,794307,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Feebas [Leap Out]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
PBL,13,895801,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Goldeen [Pierce]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
TWM,133,769307,kartentext,"Im aktuellen Meta gespielt, Zuordnung war nur ""priced-by"" und damit unverified. Bestaetigt: Cardmarket-Produktname 'Chansey [Lucky Attachment | Boundless Power]' deckt sich Wort fuer Wort mit unserem eigenen Kartentext"
SFA,64,781841,tcggo,"Im aktuellen Meta gespielt. Trainer bzw. Namensvariante ohne verwertbaren Attackenvergleich — einzeln nachgesehen: tcggo /shrouded-fable/xerosics-machinations-64 nennt 781841. Zuordnung war richtig, nur nie verifiziert"
SFA,57,780953,tcggo,"Im aktuellen Meta gespielt. Trainer bzw. Namensvariante ohne verwertbaren Attackenvergleich — einzeln nachgesehen: tcggo /shrouded-fable/colresss-tenacity-57 nennt 780953. Zuordnung war richtig, nur nie verifiziert"
SFA,63,780959,tcggo,"Im aktuellen Meta gespielt. Trainer bzw. Namensvariante ohne verwertbaren Attackenvergleich — einzeln nachgesehen: tcggo /shrouded-fable/powerglass-63 nennt 780959. Zuordnung war richtig, nur nie verifiziert"
MEG,121,851192,tcggo,"Im aktuellen Meta gespielt. Trainer bzw. Namensvariante ohne verwertbaren Attackenvergleich — einzeln nachgesehen: tcggo /mega-evolution/mega-signal-121 nennt 851192. Zuordnung war richtig, nur nie verifiziert"
MEG,124,851195,tcggo,"Im aktuellen Meta gespielt. Trainer bzw. Namensvariante ohne verwertbaren Attackenvergleich — einzeln nachgesehen: tcggo /mega-evolution/premium-power-pro-124 nennt 851195. Zuordnung war richtig, nur nie verifiziert"
WHT,83,836057,tcggo,"Im aktuellen Meta gespielt. Trainer bzw. Namensvariante ohne verwertbaren Attackenvergleich — einzeln nachgesehen: tcggo /white-flare/harlequin-83 nennt 836057. Zuordnung war richtig, nur nie verifiziert"
PBL,75,895859,tcggo,"Im aktuellen Meta gespielt. Trainer bzw. Namensvariante ohne verwertbaren Attackenvergleich — einzeln nachgesehen: tcggo /pitch-black/dark-bell nennt 895859. Zuordnung war richtig, nur nie verifiziert"
POR,79,877496,tcggo,"Im aktuellen Meta gespielt. Trainer bzw. Namensvariante ohne verwertbaren Attackenvergleich — einzeln nachgesehen: tcggo /perfect-order/naveen nennt 877496. Zuordnung war richtig, nur nie verifiziert"
PBL,55,895840,tcggo,"Im aktuellen Meta gespielt. Trainer bzw. Namensvariante ohne verwertbaren Attackenvergleich — einzeln nachgesehen: tcggo /pitch-black/morpeko-ex nennt 895840. Zuordnung war richtig, nur nie verifiziert"
POR,52,877468,tcggo,"Im aktuellen Meta gespielt. Trainer bzw. Namensvariante ohne verwertbaren Attackenvergleich — einzeln nachgesehen: tcggo /perfect-order/drapion nennt 877468. Zuordnung war richtig, nur nie verifiziert"
SSP,32,794292,tcggo+kartentext,"KORREKTUR: stand auf 794295 (Light Punch | Flamethrower), richtig ist 794292. Unser Kartentext sagt 'Will-O-Wisp'; tcggo /surging-sparks/charcadet-32 nennt 794292. Karte wird im aktuellen Meta gespielt"
SSP,18,794273,tcggo+kartentext,"KORREKTUR: stand auf 794305 (Upthrusting Horns | Jet Headbutt), richtig ist 794273. Unser Kartentext sagt 'Rear Kick Spirited Tackle'; tcggo /surging-sparks/paldean-tauros-18 nennt 794273. Karte wird im aktuellen Meta gespielt"
CRI,32,886424,tcggo+kartentext,"KORREKTUR: stand auf 886425 (Psychic Protect), richtig ist 886424. Unser Kartentext sagt 'Psyspear'; tcggo /chaos-rising/deoxys-32 nennt 886424. Karte wird im aktuellen Meta gespielt"
TWM,17,769191,kartentext,"Im aktuellen Meta gespielt, stand auf collision. Bestaetigt: Cardmarket ""Applin [Tumbling Attack]"" deckt sich mit unserem Kartentext"
TWM,126,769300,tcggo+kartentext,"KORREKTUR: TWM-126 stand auf 769191 und nahm damit TWM-17 die ID weg — daher die collision. tcggo /twilight-masquerade/applin-126 nennt 769300, und der Cardmarket-Name ""Applin [Find a Friend | Rolling Tackle]"" deckt sich mit unserem Kartentext fuer 126"
TWM,18,769192,kartentext,"Im aktuellen Meta gespielt, stand auf collision. Bestaetigt: Cardmarket ""Dipplin [Festival Lead | Do the Wave]"" deckt sich mit unserem Kartentext"
TWM,127,769301,tcggo+kartentext,"KORREKTUR: TWM-127 stand auf 769192 und nahm damit TWM-18 die ID weg. tcggo /twilight-masquerade/dipplin-127 nennt 769301, Cardmarket-Name ""Dipplin [Syrup Catcher]"" deckt sich mit unserem Kartentext fuer 127"
