set,number,verified_product_id,status,evidence,heuristic_product_id,agrees_with_heuristic,checked_at,url
AOR,10,,fingerprint_ambiguous,fingerprint_ambiguous(gap),284191,,2026-08-01T18:50:07+00:00,https://limitlesstcg.com/cards/AOR/10
AOR,100,284281,verified,"limitless-fingerprint 10.31EUR~10.31EUR (ratio 1.00, pool 3)",295237,no,2026-08-01T18:50:05+00:00,https://limitlesstcg.com/cards/AOR/100
AOR,11,,no_price_on_page,,284192,,2026-08-01T18:50:07+00:00,https://limitlesstcg.com/cards/AOR/10
AOR,14,,fingerprint_ambiguous,fingerprint_ambiguous(0 in band),284195,,2026-08-01T18:49:48+00:00,https://limitlesstcg.com/cards/AOR/14
AOR,15,,no_price_on_page,,284196,,2026-08-01T18:49:48+00:00,https://limitlesstcg.com/cards/AOR/14
AOR,17,284198,verified,"limitless-fingerprint 0.76EUR~0.76EUR (ratio 1.00, pool 2)",284198,yes,2026-08-01T18:50:08+00:00,https://limitlesstcg.com/cards/AOR/17
AOR,18,,no_price_on_page,,284199,,2026-08-01T18:50:08+00:00,https://limitlesstcg.com/cards/AOR/17
AOR,20,284201,verified,"limitless-fingerprint 1.68EUR~1.74EUR (ratio 1.04, pool 2)",284201,yes,2026-08-01T18:49:53+00:00,https://limitlesstcg.com/cards/AOR/20
AOR,21,,no_price_on_page,,284202,,2026-08-01T18:49:53+00:00,https://limitlesstcg.com/cards/AOR/20
AOR,31,284212,verified,"limitless-fingerprint 0.06EUR~0.06EUR (ratio 1.00, pool 2)",284212,yes,2026-08-01T18:49:44+00:00,https://limitlesstcg.com/cards/AOR/31
AOR,32,,no_price_on_page,,284213,,2026-08-01T18:49:44+00:00,https://limitlesstcg.com/cards/AOR/31
AOR,35,284216,verified,"limitless-fingerprint 1.75EUR~1.66EUR (ratio 1.05, pool 2)",284222,no,2026-08-01T18:49:52+00:00,https://limitlesstcg.com/cards/AOR/35
AOR,41,,no_price_on_page,,284216,,2026-08-01T18:49:52+00:00,https://limitlesstcg.com/cards/AOR/35
