tournament_id,tournament_date,format,player_count,winner_archetype,winner_winrate
6a2a2ad82d97f3b0c2613980,2026-07-01,CRI,109,Dragapult Dusknoir,25.0
6a42564583fd320299bd3d12,2026-07-01,CRI,114,Slowking,27.0
6a427cb383fd320299bd3ed1,2026-06-30,CRI,116,Slowking,18.0
6a67097952c24ac2da64d606,2026-07-29,PBL,100,Blaziken Zoroark,25.0
6a628c3252c24ac2da64a05e,2026-07-28,PBL,220,Raging Bolt Ogerpon,21.0
6a6728ae52c24ac2da64d669,2026-07-28,PBL,128,Mega Excadrill,21.0
6a5e2eee52c24ac2da647317,2026-07-28,PBL,102,Dragapult Blaziken,24.0
6a63d849937230b102d436f7,2026-07-28,PBL,108,Dhelmise Banette,27.0
6a670957937230b102d46707,2026-07-28,PBL,104,Alakazam Dudunsparce,27.0
so-many-cats,2026-07-28,PBL,128,Mega Excadrill,21.0
6a672281937230b102d46759,2026-07-27,PBL,108,Beedrill,21.0
6a5fa0c5937230b102d40ede,2026-07-27,PBL,246,Dragapult,34.0
6a64f9a4937230b102d44a8a,2026-07-27,PBL,131,Toxtricity Box,27.0
6a5ed9bb937230b102d40ab3,2026-07-27,PBL,202,N's Zoroark,30.0
6a563d13232a1a55ee10c311,2026-07-26,PBL,137,Beedrill,36.0
6a649972937230b102d4422e,2026-07-26,PBL,134,Arboliva Ogerpon,21.0
6a6456a4937230b102d4405f,2026-07-26,PBL,126,Slowking,27.0
6a4aeae265724db9ded3da7f,2026-07-25,PBL,111,Grimmsnarl Froslass,27.0
6a4aea4965724db9ded3da7a,2026-07-25,PBL,168,Dragapult,40.0
6a4578d8c87cd9ff0a314b60,2026-07-25,PBL,193,Festival Lead,7.0
jimothy,2026-07-25,PBL,504,Grimmsnarl Froslass,39.0
6a60c53152c24ac2da648d96,2026-07-24,PBL,105,Dragapult Blaziken,27.0
6a5e2d9f937230b102d401a6,2026-07-24,PBL,115,Mega Excadrill,24.0
6a5baf52937230b102d3eb53,2026-07-24,PBL,111,Palafin,27.0
6a5f729b52c24ac2da6480ec,2026-07-24,PBL,133,Dragapult Blaziken,28.0
6a5e4d3752c24ac2da647443,2026-07-23,PBL,121,Festival Lead,27.0
6a5e2d63937230b102d401a2,2026-07-23,PBL,104,Dragapult Dusknoir,25.0
6a5a671b52c24ac2da644850,2026-07-23,PBL,229,Mega Lucario,34.0
6a58f606cc68177ec6c56a6c,2026-07-22,PBL,108,Lopunny Dudunsparce,21.0
6a5e2d30937230b102d401a0,2026-07-22,PBL,156,Slowking,28.0
6a5bb770937230b102d3ec7d,2026-07-22,PBL,103,Wailord,24.0
6a5e8d4b937230b102d40671,2026-07-21,PBL,177,Dragapult Blaziken,21.0
6a4e22cd063cb29d318e68d8,2026-07-21,PBL,118,Festival Lead,21.0
6a5baefb52c24ac2da645a63,2026-07-21,PBL,141,Dragapult Dusknoir,30.0
6a5b9ac952c24ac2da645851,2026-07-21,PBL,114,Festival Lead,25.0
6a5e8dd6937230b102d40677,2026-07-21,PBL,117,Cynthia's Garchomp,18.0
6a543fe6c0a6bab82fbbcca8,2026-07-20,PBL,210,Dragapult,21.0
6a5d1549937230b102d3fa6f,2026-07-20,PBL,133,Alakazam Dudunsparce,21.0
6a56672b6355385f44dd4a4d,2026-07-20,PBL,224,Dragapult Blaziken,35.0
6a5b9aa7937230b102d3e961,2026-07-20,PBL,104,Festival Lead,27.0
6a5938d8cc68177ec6c56e10,2026-07-20,PBL,267,Alakazam Dudunsparce,30.0
6a5b622f937230b102d3e577,2026-07-19,PBL,120,Dhelmise Banette,18.0
6a4ae98265724db9ded3da75,2026-07-18,PBL,145,Dragapult Blaziken,36.0
yes-pitch-black-is-legal,2026-07-18,PBL,416,Dragapult Blaziken,34.0
6a511572063cb29d318e8c3f,2026-07-16,PBL,104,Alakazam Dudunsparce,33.0
6a53a6d63614df026848d798,2026-07-14,PBL,151,Slowking,21.0
6a4c0d3d063cb29d318e5153,2026-07-13,PBL,143,Dragapult Dusknoir,21.0
6a4d2cd565724db9ded3f5e3,2026-07-13,PBL,149,Mega Lucario,34.0
6a4f5042063cb29d318e783e,2026-07-13,PBL,104,Crustle,25.0
6a4eac9f65724db9ded40814,2026-07-13,PBL,233,Dragapult Blaziken,30.0
6a4ae8c365724db9ded3da6d,2026-07-11,PBL,104,N's Zoroark,31.0
goodbye-chaos,2026-07-11,PBL,365,Alakazam Dudunsparce,31.0
6a47f19765724db9ded3b627,2026-07-09,PBL,148,N's Zoroark,34.0
6a4d1d71063cb29d318e5e4f,2026-07-09,PBL,117,Dudunsparce Mega Froslass,28.0
6a3eb961c87cd9ff0a310222,2026-07-08,PBL,115,Dragapult,21.0
6a4c32a965724db9ded3eb6f,2026-07-08,PBL,179,N's Zoroark,28.0
6a4c3df0063cb29d318e5594,2026-07-08,PBL,103,Rocket's Honchkrow,27.0
6a46b80e83fd320299bd68e9,2026-07-07,PBL,151,Dragapult,21.0
